;,Separador,,
;,Separador,,
<!,6,Separador,
!>,6,Separador,
!,Separador,,
 ,Separador,,
(,Separador,,
),Separador,,
{,Separador,,
},Separador,,
[,Separador,,
],Separador,,
\n,Separador,,
\r,Separador,,
\,Separador,,
',Separador,,
if,Comentarios,Palabra reservada,
else,Comentarios,Palabra reservada,
elif,Comentarios,Palabra reservada,
lever,Comentarios,Palabra reservada,
while,Control de flujo,Palabra reservada,
for,Control de flujo,Palabra reservada,
break,Control de flujo,Palabra reservada,
continue,Control de flujo,Palabra reservada,
case,Control de flujo,Palabra reservada,
char,Tipo de dato,Palabra reservada,
int,Tipo de dato,Palabra reservada,
dec,Tipo de dato,Palabra reservada,
string,Tipo de dato,Palabra reservada,
bool,Tipo de dato,Palabra reservada,
const,Palabra reservada,,
null,Palabra reservada,,
throws,Palabra reservada,,
throw,Palabra reservada,,
try,Palabra reservada,,
catch,Palabra reservada,,
import,Palabra reservada,,
feka,Palabra reservada,,
real,Palabra reservada,,
package,Palabra reservada,,
return,Palabra reservada,,
func,Palabra reservada,,
main,Palabra reservada,,
+,Aritmetico,Separador,
-,Aritmetico,Separador,
*,Aritmetico,Separador,
/,Aritmetico,Separador,
%,Aritmetico,Separador,
^,Aritmetico,Separador,
¬,Aritmetico,Separador,
:^,Aritmetico,Separador,
<,Relacional,Separador,
>,Relacional,Separador,
<=,Relacional,Separador,
>=,Relacional,Separador,
!=,Relacional,Separador,
=,Relacional,Separador,
==,Relacional,Separador,
and,Logico,Palabra reservada,
or,Logico,Palabra reservada,
not,Logico,Palabra reservada,